k,MEDIA,DEV PADRAO,IC,Min,Max
5,"0,21806","0,00175","0,00108","0,21698","0,21914"
10,"0,21833","0,00206","0,00128","0,21705","0,21960"
15,"0,21875","0,00232","0,00144","0,21731","0,22019"
20,"0,19615","0,06828","0,04232","0,15383","0,23847"
25,"0,22359","0,00162","0,00101","0,22258","0,22460"
30,"0,21892","0,00140","0,00087","0,21806","0,21979"
